timestamp,participant_id,condition,study_id,session_id

2024-06-17T09:08:29+0000,DEBUG,2.csv,DEBUG,0
2024-06-21T08:05:25+0000,DEBUG,111.csv,DEBUG,0
2024-06-26T13:07:39+0000,DEBUG,1.csv,DEBUG,0
2024-06-26T13:18:35+0000,DEBUG,2.csv,DEBUG,0
2024-06-26T13:20:53+0000,DEBUG,3.csv,DEBUG,0
2024-06-28T08:56:25+0000,DEBUG,93.csv,DEBUG,0
2024-06-28T08:59:46+0000,DEBUG,170.csv,DEBUG,0
2024-06-28T09:01:26+0000,DEBUG,272.csv,DEBUG,0
2024-06-28T09:33:19+0000,DEBUG,279.csv,DEBUG,0
2024-06-28T09:34:59+0000,DEBUG,143.csv,DEBUG,0
2024-07-01T08:25:52+0000,DEBUG,324.csv,DEBUG,0
2024-07-01T09:07:16+0000,DEBUG,254.csv,DEBUG,0
2024-07-01T11:00:15+0000,DEBUG,1.csv,DEBUG,0
2024-07-01T11:13:07+0000,DEBUG,2.csv,DEBUG,0
2024-07-01T11:16:04+0000,DEBUG,3.csv,DEBUG,0
2024-07-01T11:19:10+0000,DEBUG,4.csv,DEBUG,0
2024-07-01T12:44:02+0000,DEBUG,4.csv,DEBUG,0
2024-07-01T12:48:26+0000,DEBUG,1.csv,DEBUG,0
2024-07-01T12:51:56+0000,DEBUG,2.csv,DEBUG,0
2024-07-10T09:34:12+0000,DEBUG,4.csv,DEBUG,0
2024-07-10T09:43:14+0000,DEBUG,4.csv,DEBUG,0
2024-07-10T09:47:11+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T07:21:23+0000,DEBUG,185.csv,DEBUG,0
2024-07-11T07:24:27+0000,DEBUG,215.csv,DEBUG,0
2024-07-11T08:34:09+0000,DEBUG,1.csv,DEBUG,0
2024-07-11T08:51:31+0000,DEBUG,2.csv,DEBUG,0
2024-07-11T09:49:15+0000,DEBUG,2.csv,DEBUG,0
2024-07-11T09:54:20+0000,DEBUG,3.csv,DEBUG,0
2024-07-11T10:01:07+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T11:40:09+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T11:46:58+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T11:53:03+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T11:53:46+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T11:55:02+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T12:41:53+0000,DEBUG,4.csv,DEBUG,0
2024-07-11T12:44:48+0000,DEBUG,3.csv,DEBUG,0
2024-07-11T12:49:27+0000,DEBUG,3.csv,DEBUG,0
2024-07-11T12:50:34+0000,DEBUG,3.csv,DEBUG,0
2024-07-11T12:52:16+0000,DEBUG,3.csv,DEBUG,0
2024-07-11T18:30:47+0000,DEBUG,187.csv,DEBUG,0
2024-07-12T08:52:38+0000,DEBUG,303.csv,DEBUG,0
2024-07-12T09:10:03+0000,DEBUG,369.csv,DEBUG,0
2024-07-12T09:15:12+0000,DEBUG,54.csv,DEBUG,0
2024-07-12T09:16:51+0000,DEBUG,253.csv,DEBUG,0
2024-07-12T09:29:32+0000,DEBUG,276.csv,DEBUG,0
2024-07-12T09:37:22+0000,DEBUG,232.csv,DEBUG,0
2024-07-12T09:42:33+0000,DEBUG,25.csv,DEBUG,0
2024-07-12T11:44:18+0000,DEBUG,295.csv,DEBUG,0
2024-07-12T11:45:53+0000,DEBUG,261.csv,DEBUG,0
2024-07-12T11:47:38+0000,DEBUG,5.csv,DEBUG,0
2024-07-12T11:48:07+0000,DEBUG,380.csv,DEBUG,0
2024-07-12T11:50:28+0000,DEBUG,270.csv,DEBUG,0
2024-07-12T11:51:23+0000,DEBUG,65.csv,DEBUG,0
2024-07-12T11:52:55+0000,DEBUG,158.csv,DEBUG,0
2024-07-12T11:54:47+0000,DEBUG,221.csv,DEBUG,0
2024-07-12T11:55:10+0000,DEBUG,82.csv,DEBUG,0
2024-07-12T11:55:52+0000,DEBUG,173.csv,DEBUG,0
2024-07-12T11:58:25+0000,DEBUG,38.csv,DEBUG,0
2024-07-12T12:02:29+0000,DEBUG,271.csv,DEBUG,0
2024-07-12T12:06:39+0000,DEBUG,282.csv,DEBUG,0
2024-07-12T12:15:08+0000,DEBUG,72.csv,DEBUG,0
2024-07-12T12:23:01+0000,DEBUG,298.csv,DEBUG,0
2024-07-12T12:24:21+0000,DEBUG,111.csv,DEBUG,0
2024-07-18T15:40:15+0000,DEBUG,192.csv,DEBUG,0
2024-07-18T15:42:13+0000,DEBUG,363.csv,DEBUG,0
2024-07-19T11:12:47+0000,_dcc48917b6743000,319.csv,pilot,0
2024-07-19T11:13:18+0000,_11dadaa29f5743000,249.csv,pilot,0
2024-07-19T11:16:13+0000,_7dc6e2999b742f7c,72.csv,pilot,0
2024-07-19T11:16:45+0000,_abffcee580743000,180.csv,pilot,0
2024-07-19T11:18:07+0000,_8b4b5e4488743000,114.csv,pilot,0
2024-07-19T11:20:06+0000,_228071a7fd743200,259.csv,pilot,0
2024-07-19T11:24:42+0000,_125dc2303ae744000,76.csv,pilot,0
2024-07-19T11:26:18+0000,_5e93e22c77433d8,201.csv,pilot,0
2024-07-19T11:45:55+0000,_ba561d8c4d744000,297.csv,pilot,0
2024-07-19T11:55:42+0000,_bb6a7dd912745000,326.csv,pilot,0
